"base id","name","surname","amount 1","amount 2"
"38092","A","","550337","-627209"
"16743","A","","-496296","726506"
"48903","A","","-965005","190300"
"90629","A","","790399","566416"
"47461","A","","416655","-37270"
"74721","A","","296997","-228252"
"81505","A","","512832","806235"
"98056","A","","87141","333264"
"10879","A","","-759166","-88903"
"70590","A","","-16864","-553842"
"49877","A","","-986939","-529394"
"99686","A","","110833","611255"
"38152","A","","486176","175978"
"50122","A","","810847","-392607"
"23476","A","","344317","253817"
"82582","A","","156516","581204"
"17605","A","","-488669","907272"
"82553","A","","-154289","920668"
"48887","A","","-36589","922816"
"87021","A","","-720706","-901065"
"55051","A","","499527","663151"
"78540","A","","273768","-445886"
"15922","A","","-345488","687246"
"71610","A","","-617508","-582881"
"69850","A","","499396","32540"
"4533","A","","",""
"88182","A","","-950050","799227"
"23234","A","","-23729","-550782"
"19184","A","","12500","-295503"
"40093","A","","376333","985137"
"79245","A","","-277073","182009"
"23264","A","","277887","588325"
"78151","A","","-627181","-374163"
"86655","A","","-779092","-964887"
"44208","A","","-302993","579440"
"53420","A","","-501041","130745"
"89493","A","","422134","475105"
"47487","A","","-274782","-753628"
"88034","A","","319677","442024"
"92096","A","","189928","-742952"
"15331","A","","142623","961373"
"24320","A","","-836779","-594845"
"82479","A","","387038","133440"
"46015","A","","732396","-823851"
"85065","A","","-144968","-402397"
"23864","A","","63741","10641"
"31180","A","","-291539","660401"
"78790","A","","840251","705818"
"17754","A","","-190636","916938"
"65673","A","","-793311","-843583"
"82423","A","","762898","-988506"
"35374","A","","337179","545296"
"10832","A","","-948263","-801771"
"3752","A","","",""
"65007","A","","-748580","-386950"
"66157","A","","798343","836452"
"9503","A","","",""
"20179","A","","27360","118034"
"66128","A","","358233","-281541"
"70436","A","","175275","880572"
"93626","A","","881699","-989852"
"47906","A","","393821","967754"
"94818","A","","139974","12260"
"94492","A","","860184","-81711"
"48940","A","","-43563","741203"
"62483","A","","847047","-232916"
"61936","A","","285034","283152"
"1399","A","","",""
"15743","A","","600112","-42434"
"32449","A","","37803","-617268"
"39426","A","","948146","789764"
"69399","A","","543726","-466680"
"94485","A","","224554","-507447"
"13705","A","","898221","237999"
"91438","A","","-814900","530924"
"13076","A","","-755445","466901"
"90232","A","","-940453","772292"
"61601","A","","-556911","-620520"
"90704","A","","-478770","561576"
"34085","A","","-358415","-446404"
"46099","A","","159351","215601"
"17939","A","","570862","-715877"
"65276","A","","571626","602539"
"97873","A","","-308128","-98257"
"53560","A","","-578152","-762276"
"51313","A","","678800","-682753"
"28059","A","","-827601","937245"
"34250","A","","-259706","829724"
"60303","A","","-834350","-992666"
"78470","A","","567869","-407961"
"65144","A","","-218437","811902"
"2374","A","","",""
"87404","A","","-455413","-358764"
"30181","A","","218430","146510"
"51068","A","","325182","-943208"
"92161","A","","-847221","-509463"
"99755","A","","-813748","-293988"
"80545","A","","-866930","743545"
"34562","A","","995263","-489440"
"94688","A","","507743","399188"
"14935","A","","-179886","-565525"
"71553","A","","-676775","228754"
"23567","A","","199825","-936930"
"5168","A","","",""
"32022","A","","529140","-130958"
"14346","A","","455773","-28689"
"24811","A","","182979","857028"
"11344","A","","-464586","415808"
"57400","A","","791793","15687"
"50749","A","","933652","-444590"
"32003","A","","-289978","-677263"
"48376","A","","758738","631960"
"7339","A","","",""
